fincode,rv_sect_name,compname,classification
217757,Financials,PNB Housing Finance Ltd.,S
217842,FMCG,Godrej Agrovet Ltd.,S
218067,Logistics,Mahindra Logistics Ltd.,S
218071,Healthcare,Max Healthcare Institute Ltd.,M
218761,Consumer Durables,Mold-Tek Packaging Ltd.,S
218764,Healthcare,Thyrocare Technologies Ltd.,S
218933,Energy,RattanIndia Power Ltd.,S
219237,Media and Communications,Den Networks Ltd.,S
219492,Construction,DB Realty Ltd.,S
219691,Automobile and Ancillaries,Cochin Shipyard Ltd.,S
219700,Automobile and Ancillaries,Mazagon Dock Shipbuilders Ltd.,M
220053,Energy,KIOCL Ltd.,S
220350,Financials,L&T Finance Holdings Ltd.,M
220512,Energy,SJVN Ltd.,M
220527,Financials,Spandana Sphoorty Financial Ltd.,S
220741,Financials,Indiabulls Housing Finance Ltd.,S
221083,Logistics,Gateway Distriparks Ltd.,S
221194,Miscellaneous,TeamLease Services Ltd.,S
221217,Retail and Other Services,Wonderla Holidays Ltd.,S
221267,Financials,Fedbank Financial Services Ltd,S
221363,Textile,Rupa & Company Ltd.,S
221554,Travel,Yatra Online Ltd,S
221645,Healthcare,Krishna Institute of Medical Sciences Ltd,S
221680,Healthcare,Brooks Laboratories Ltd.,S
221790,Financials,Muthoot Finance Ltd.,M
221959,FMCG,Sula Vineyards Ltd.,S
222055,Travel,Interglobe Aviation Ltd.,L
222255,Healthcare,Eris Lifesciences Ltd.,S
222671,Financials,Ujjivan Financial Services Ltd.,S
222822,Automobile and Ancillaries,Texmaco Rail & Engineering Ltd.,S
223187,Capital Goods,Kaynes Technology India Ltd.,S
223397,Consumer Durables,Stove Kraft Ltd.,S
223788,Retail and Other Services,Ethos Ltd.,S
224623,Energy,Indian Energy Exchange Ltd.,S
224849,Healthcare,Alembic Pharmaceuticals Ltd.,S
224880,Technology,NIIT Learning Systems Ltd. ,S
225154,Consumer Durables,Amber Enterprises India Ltd.,S
226076,Capital Goods,Triveni Turbine Ltd.,S
226328,Chemicals,Anupam Rasayan India Ltd.,S
226480,Construction,Dilip Buildcon Ltd.,S
226625,Financials,MAS Financial Services Ltd.,S
226627,Chemicals,Sharda Cropchem Ltd.,S
227331,Healthcare,Supriya Lifescience Ltd.,S
227347,Miscellaneous,Care Ratings Ltd.,S
228011,Construction,Arvind Smartspaces Ltd.,S
228347,Energy,Adani Total Gas Ltd.,L
228974,Financials,360 One Wam Ltd.,S
229238,Technology,Affle (India) Ltd.,S
229365,Financials,JIO Financial Services Ltd.,L
229820,Capital Goods,Schneider Electric Infrastructure Ltd.,S
229901,Miscellaneous,RattanIndia Enterprises Ltd.,S
232353,Capital Goods,RHI Magnesita India Ltd.,S
232592,Miscellaneous,Latent View Analytics Ltd.,S
232604,Healthcare,Medplus Health Services Ltd.,S
235506,Healthcare,Metropolis Healthcare Ltd.,S
235668,Technology,eMudhra Ltd.,S
235955,Financials,Home First Finance Company India Ltd.,S
236257,Healthcare,Artemis Medicare Services Ltd.,S
237191,Retail and Other Services,V-Mart Retail Ltd.,S
237594,Metals,JTL Industries Ltd,S
241159,Chemicals,Neogen Chemicals Ltd.,S
