SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
531437,PWASML,Prakash Woollen & Synthetic Mills Ltd,Prakash Woollen & Synthetic Mills Ltd
531439,GOLDTECH,Aion-Tech Solutions Ltd,AION-TECH SOLUTIONS LIMITED
531444,VARDHMAN,Vardhman Concrete Limited,Vardhman Concrete Limited
531449,GRMOVER,GRM OVERSEAS LTD.,GRM Overseas Ltd.
531453,MOHITIND,MOHIT INDUSTRIES LTD.-$,Mohit Industries Limited
531454,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,Polylink Polymers (india) Ltd.
531456,MINAXI,MINAXI TEXTILES LTD.,Minaxi Textiles Ltd.
531460,CONTICON,CONTINENTAL CONTROLS LTD.,Continental Controls Ltd.
531465,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD.,Nouveau Global Ventures Limited
531471,DUKEOFS,DUKE OFFSHORE LTD.,Duke Offshore Ltd.
531472,CYBELEIND,CYBELE INDUSTRIES LTD.,Cybele  Industries Limited
531489,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,Cg-Vak Software & Exports Ltd.
531494,NAVKAR,Navkar Urbanstructure Ltd,NAVKAR URBANSTRUCTURE LIMITED
531497,MADHUCON,MADHUCON PROJECTS LTD.-$,Madhucon Projects Ltd.
531499,SYBLY,SYBLY INDUSTRIES LTD.-$,Sybly Industries Ltd.
531500,RAJESHEXPO,RAJESH EXPORTS LTD.,Rajesh Exports Ltd.
531502,ESARIND,ESAAR (INDIA) LTD.,Esaar (India) Ltd.
531503,MARIS,MARIS SPINNERS LTD.-$,Maris Spinners Ltd.
531505,INDERGR,INDERGIRI FINANCE LTD.,Indergiri Finance ltd.
531506,SKRABUL,SHUKRA BULLIONS LTD.,Shukra Bullions Limited
531508,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Eveready Industries India Ltd.
531509,STEP2COR,STEP TWO CORPORATION LTD.,Step Two Corporation Ltd.
531512,ORIENTTR,ORIENT TRADELINK LTD.,Orient Tradelink Ltd.
531515,MAHANIN,MAHAN INDUSTRIES LTD.,Mahan Industries Ltd.
531518,VIKASPROP,Vikas Proppant & Granite Ltd,VIKAS PROPPANT & GRANITE LTD.
531521,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,Desh Rakshak Aushdhalaya Ltd.
531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Ace Software Exports ltd.
531529,SOFTRAKV,SOFTRAK VENTURE INVESTMENT LTD.,Softrak Venture Investments Ltd.
531531,HATSUN,HATSUN AGRO PRODUCT LTD.,Hatsun Agro Products Ltd.
531537,JYOTHI,JYOTHI INFRAVENTURES LTD.,Jyothi Infraventures Ltd.
531539,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,Rishabh Digha Steel And Allied Prod
531540,MAINFRA,MARUTI INFRASTRUCTURE LTD.,Maruti Infrastructure Ltd.
531541,KOBO,Kobo Biotech Ltd-$,KOBO BIOTECH LIMITED
531543,JINDWORLD,JINDAL WORLDWIDE LTD.,Jindal Worldwide Ltd.
531548,SOMANYCERA,SOMANY CERAMICS LTD.,Somany Ceramics Limited
531550,JHACC,JHAVERI CREDITS & CAPITAL LTD.,Jhaveri Credits & Capital Ltd.
531552,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,Raghunath Tobacco Co. Ltd.
531553,DRL,Disha Resources Ltd,DISHA RESOURCES LIMITED
531556,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,Coral India Finance And Housing Ltd
531569,SANJIVIN,SANJIVANI PARANTERAL LTD.,Sanjivani Paranteral Ltd.
531578,KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,KMF Builders & Developers Ltd.
531582,BERYLSE,BERYL SECURITIES LTD.,Beryl Securities Ltd
531583,RAP,RAP MEDIA LTD.,Rap Media Ltd.
531585,DEVINE,DEVINE IMPEX LTD.,Devine Impex Limited
531591,BAMPSL,BAMPSL SECURITIES LTD.,Bampsl Securities Ltd.
531592,GENPHARMA,Genpharmasec Ltd,GENPHARMASEC LIMITED
