Stock Number,Stock Name
100002,ABB India Ltd.
106401,Deepak Nitrite Ltd.
218763,DR.Lal Pathlabs Ltd
132830,ASTRAL LTD.
220350,L&T Finance Holdings Ltd
112070,UPL Ltd
216156,Larsen & Toubro Infotech Ltd
211337,polycab India Limited
208661,Mahanagar Gas Ltd
111196,Can Fin Homes Ltd.
100670,Gujarat Narmada Valley Fertilisers Company Ltd.
208238,GODREJ PROPERTIES LIMITED
132234,National Aluminium Company Ltd.
132466,Oracle Financial Services Software Ltd
132868,DLF Limited
290269,Indiamart Intermesh ltd.
132400,Birlasoft LImited
132482,Granules India Ltd.
100085,Chambal Fertilisers & Chemicals Ltd.
100253,LIC HOUSING FINANCE LTD.
113599,Hindustan Copper Ltd.
131213,Manappuram Finance Ltd.
132777,Info Edge India Ltd.
100038,Balrampur Chini Mills Ltd.
235506,Metropolis Healthcare Ltd.
109480,Berger Paints India Ltd.
278580,IDFC FIRST BANK LIMITED
124715,SUN PHARMACEUTICAL INDUSTRIES LTD.
100124,Dr.Reddy's  Laboratories Ltd.
210591,ADITYA BIRLA FASHION AND RETAIL LTD.
217389,HDFC Life Insurance Company Ltd
132848,Delta Corp Limited
100820,Asian Paints(India) Ltd.
268618,L&T Technology Services Ltd
225051,SBI Cards & Payment Services Pvt. Ltd.
111243,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.
220741,Indiabulls Housing Finance Ltd.
126299,Mphasis Ltd
100483,Tata Communications Ltd
132504,Navin Fluorine International Ltd.
100830,Colgate- Palmolive (India) Ltd.
100790,Nestle India Limited
132779,Torrent Power Limited
132777,Info Edge (India) Limited
100331,Pidilite Industries Limited
132488,Divi's Laboratories Limited
111243,Cholamandalam Investment and Finance Company Ltd
205198,Bajaj Finserv Limited
100387,Shree Cement Limited
100520,Mahindra & Mahindra Limited
190071,Sundaram Finance Limited
132830,Astral Limited
100408,Tata Elxsi Limited
100093,CG Power and Industrial Solutions Limited
211840,Mankind Pharma Limited
301912,Clean Science and Technology Limited
226625,Mas Financial Services Limited
105790,Schaeffler India Limited
117385,Symphony Limited
100440,Hindalco Industries Limited
279664,Global Health Limited
107747,TTK Healthcare Limited
302427,Vijaya Diagnostic Centre Limited
100312,Oil & Natural Gas Corporation Limited
216369,NHPC Limited
200091,Oil India Limited
220512,SJVN Limited
208801,NBCC (India) Limited
219691,Cochin Shipyard Limited
132424,Godrej Consumer Products Limited
100550,Siemens Limited
100002,ABB India Limited
132702,Gujarat State Petronet Limited
100257,Lupin Limited
107685,Wipro Limited
213838,Prestige Estates Projects Limited
100043,Bata India Limited
100493,Bharat Forge Limited
208280,HDFC Asset Management Company Limited
