SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
502168,Nclind,Ncl Industries Limited-$,Ncl Industries Limited,
502175,Saurashcem,Saurashtra Cement Limited,Saurashtra Cement Limited
502180,Shredigcem,Shree Digvijay Cement Co.Limited-$,Shree Digvijay Cement Co. Limited,
502219,Bororenew,Borosil Renewables Limited,Borosil Renewables Limited
502250,Lerthai,Lerthai Finance Limited,Lerthai Finance Limited
502271,Rassiref,Raasi Refractories Limited-$,Raasi Refractories Limited.
502281,Trivenigq,Triveni Glass Limited-$,Triveni Glass Limited,
502294,Nilachal,Nilachal Refractories Limited,Nilachal Refractories Limited
502330,Andhrapap,Andhra Paper Limited,Andhra Paper Limited
502355,Balkrisind,Balkrishna Industries Limited-$,Balkrishna Industries Limited,
502420,Orientppr,Orient Paper & Industries Limited,Orient Paper & Industries Limited
502445,Citadel,Citadel Realty And Developers Limited,Citadel Realty And Developers Limited
502448,Rollt,Rollatainers Limited,Rollatainters Limited,
502450,Seshapaper,Seshasayee Paper & Boards Limited,Seshasayee Paper & Boards Limited,
502587,Nathind,Nath Industries Limited,Nath Industries Limited
502589,Vapienter,Vapi Enterprise Limited,Vapi Enterprise Limited
502820,Dcm,Dcm Limited,Dcm Limited,
502850,Zgaekwar,Gaekwar Mills Limited,Gaekwar Mills Limited,
502865,Forbesco,Forbes & Company Limited-$,Forbes & Company Limited
502873,Hpcotton,H.P.Cotton Textile Mills Limited,H.P. Cotton Textile Mills Limited,
502893,Unitedint,United Interactive Limited,United Interactive Limited
502901,Jamshri,Jamshri Realty Limited-$,Jamshri Realty Limited
502933,Katrspg,Katare Spinning Mills Limited,Katare Spinning Mills Limited,
502937,Kesoramind,Kesoram Industries Limited,Kesoram Industries Limited
502958,Lakshmimil,Lakshmi Mills Company Limited-$,Lakshmi Mills Company Limited
502986,Vtl,Vardhman Textiles Limited,Vardhman Textiles Limted
503031,Peninland,Peninsula Land Limited,Peninsula Land Limited
503092,Pasuspg,Pasupati Spg.& Wvg.Mills Limited,Pasupati Spg. & Wvg. Mills Limited,
503100,Phoenixlimited,The Phoenix Mills Limited,The Phoenix Mills Limited,
503101,Marathon,Marathon Nextgen Realty Limited,Marathon Nextgen Realty Limited
503127,Rajabah,Raja Bahadur International Limited,Raja Bahadur International Limited
503162,Relchemq,Reliance Chemotex Industries Limited-$,Reliance Chemotex Industries Limited,
503169,Rubymills,Ruby Mills Limited,Ruby Mills Limited,
503229,Simplxrea,Simplex Realty Limited,Simplex Realty Limited
503310,Swanenergy,Swan Energy Limited,Swan Energy Limited
503349,Victmill,Victoria Mills Limited,Victoria Mills Limited,
503622,Zsvtradi,S.V.Trading & Agencies Limited,S.V. Trading & Agencies Limited,
503624,Zsvarajt,Svaraj Trading & Agencies Limited,Svaraj Trading & Agencies Limited,
503626,Kshitij,Kshitij Investments Limited,Kshitij Investments Limited
503635,Salsain,Shree Salasar Investment Limited,Shree Salasar Investment Limited,
503639,Indsoya,Indsoya Limited,Indsoya Limited
503641,Zodiacven,Zodiac Ventures Limited,Zodiac Ventures Limited
503657,Veerenrgy,Veer Energy & Infrastructure Limited,Veer Energy & Infrastructure Limited
503659,Sw1,Sw Investments Limited,Sw Investments Limited
503663,Tilak,Tilak Ventures Limited,Tilak Ventures Limited
503669,Kkfin,K K Fincorp Limited,K K Fincorp Limited
503671,Unijoll,Unijolly Investments Co.Limited,Unijolly Investments Co. Limited,
503675,Wagend,Wagend Infra Venture Limited,Wagend Infra Venture Limited
503681,Elcidin,Elcid Investments Limited,Elcid Investments Limited,
503685,Mediaone,Mediaone Global Entertainment Limited,Mediaone Global Entertainment Limited
503689,Healinv,Healthy Investments Limited,Healthy Investments Limited,
503696,Shrenti,Shreenath Investments Co.Limited,Shreenath Investments Co. Limited,
503722,Banswras,Banswara Syntex Limited-$,Banswara Syntex Limited,
503772,Modwool,Modella Woollens Limited,Modella Woollens Limited,
503776,Modipon,Modipon Limited,Modipon Limited,
503804,Shridine,Shri Dinesh Mills Limited-$,Shri Dinesh Mills Limited,
503806,Srf,Srf Limited,Srf Limited,
503811,Siysil,Siyaram Silk Mills Limited-$,Siyaram Silk Mills Limited,
503816,Swadpol,Swadeshi Polytex Limited,Swadeshi Polytex Limited,
503837,Shrajsynq,Shree Rajasthan Syntex Limited-$,Shree Rajasthan Syntex Limited,
503863,Shrmfgc,Shree Manufacturing Co.Limited,Shree Manufacturing Co. Limited,
503893,Zsatyasl,Satyam Silk Mills Limited,Satyam Silk Mills Limited
503960,Bbl,Bharat Bijlee Limited-$,Bharat Bijlee Limited,
504000,Elprointl,Elpro International Limited,Elpro International Limited,
504028,Gee,Gee Limited,Gee Limited
504036,Hirect,Hind Rectifiers Limited,Hind Rectifiers Limited,
504058,Nippobatry,Indo-National Limited,Indo National Limited
504067,Zensartech,Zensar Technologies Limited,Zensar Technologies Limited
504076,Jyoti,Jyoti Limited-$,Jyoti Limited,
504080,Jslindl,Jsl Industries Limited,Jsl Industries Limited,
504084,Kayceei,Kaycee Industries Limited,Kaycee Industries Limited,
504092,Indokem,Indokem Limited,Indokem Limited
504093,Panaenerg,Panasonic Energy India Company Limited-$,Panasonic Energy India Co. Limited
504112,Nelco,Nelco Limited,Nelco Limited
504132,Permagn,Permanent Magnets Limited-$,Permanent Magnets Limited
504176,Highene,High Energy Batteries (India) Limited,High Energy Batteries (India) Limited,
504180,Stdbat,Standard Batteries Limited,Standard Batteries Limited,
504212,Univcables,Universal Cables Limited,Universal Cables Limited,
504220,Wsi,W.S.Industries (India) Limited-$,W.S. Industries (India) Limited,
504240,Dltncbl,Delton Cables Limited,Delton Cables Limited,
504258,Lakselec,Lakshmi Electrical Control Systems Limited,Lakshmi Electrical Control Systems
504273,Modulex,Modulex Construction Technologies Limited,Modulex Construction Technologies Limited
504286,Deltamagnt,Delta Manufacturing Limited,Delta Manufacturing Limited
504340,Confint,Confidence Finance And Trading Limited,Confidence Finance And Trading Limited
504341,Relimited,Ravindra Energy Limited,Ravindra Energy Limited
504346,Gdtragn,G.D.Trading & Agencies Limited,G.D. Trading & Agencies Limited,
